datetime,sensor,state,value,apparatus
2025-11-23 06:50:42,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:51:46,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 06:57:07,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 06:58:10,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:03:26,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:04:29,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:09:09,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:10:06,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:14:33,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:15:28,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:20:52,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:21:59,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:26:29,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:27:24,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:32:30,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:33:36,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:38:28,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:39:28,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:44:11,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:45:10,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:49:35,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:50:33,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 07:55:21,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 07:56:21,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:01:19,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:02:28,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:07:07,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:08:11,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:13:08,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:14:20,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:19:27,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:20:43,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:25:28,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:26:40,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:31:34,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:32:50,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:37:32,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:38:47,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:43:51,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:45:10,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:49:42,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:50:52,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 08:55:52,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 08:57:11,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 09:01:44,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 09:02:56,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 09:08:06,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 09:09:28,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 09:13:46,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 09:14:46,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 09:19:11,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 09:20:14,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 09:25:14,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 09:26:20,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 09:31:39,dv3,off,950,"Замарстинівська, 55г"
2025-11-23 09:32:51,dv3,on,60,"Замарстинівська, 55г"
2025-11-23 05:08:50,dv3,on,60,"Зелена, 17"
2025-11-23 00:04:22,dv3,off,950,"Золота, 25"
2025-11-23 00:08:11,dv3,on,60,"Золота, 25"
2025-11-23 00:35:15,dv3,off,950,"Золота, 25"
2025-11-23 00:38:06,dv3,on,60,"Золота, 25"
2025-11-23 00:57:21,dv3,off,950,"Золота, 25"
2025-11-23 01:00:03,dv3,on,60,"Золота, 25"
2025-11-23 01:20:12,dv3,off,950,"Золота, 25"
2025-11-23 01:22:57,dv3,on,60,"Золота, 25"
2025-11-23 01:43:28,dv3,off,950,"Золота, 25"
2025-11-23 01:46:09,dv3,on,60,"Золота, 25"
2025-11-23 02:04:09,dv3,off,950,"Золота, 25"
2025-11-23 02:06:51,dv3,on,60,"Золота, 25"
2025-11-23 02:26:57,dv3,off,950,"Золота, 25"
2025-11-23 02:29:46,dv3,on,60,"Золота, 25"
2025-11-23 02:51:25,dv3,off,950,"Золота, 25"
2025-11-23 02:54:10,dv3,on,60,"Золота, 25"
2025-11-23 03:13:28,dv3,off,950,"Золота, 25"
2025-11-23 03:16:03,dv3,on,60,"Золота, 25"
2025-11-23 03:36:09,dv3,off,950,"Золота, 25"
2025-11-23 03:38:58,dv3,on,60,"Золота, 25"
2025-11-23 03:59:16,dv3,off,950,"Золота, 25"
2025-11-23 04:02:00,dv3,on,60,"Золота, 25"
2025-11-23 04:20:06,dv3,off,950,"Золота, 25"
2025-11-23 04:22:46,dv3,on,60,"Золота, 25"
2025-11-23 04:41:45,dv3,off,950,"Золота, 25"
2025-11-23 04:44:28,dv3,on,60,"Золота, 25"
2025-11-23 05:04:06,dv3,off,950,"Золота, 25"
2025-11-23 05:06:48,dv3,on,60,"Золота, 25"
2025-11-23 05:26:46,dv3,off,950,"Золота, 25"
2025-11-23 05:29:31,dv3,on,60,"Золота, 25"
2025-11-23 05:49:01,dv3,off,950,"Золота, 25"
2025-11-23 05:51:46,dv3,on,60,"Золота, 25"
2025-11-23 06:11:28,dv3,off,950,"Золота, 25"
2025-11-23 06:14:11,dv3,on,60,"Золота, 25"
2025-11-23 06:33:44,dv3,off,950,"Золота, 25"
2025-11-23 06:36:28,dv3,on,60,"Золота, 25"
2025-11-23 06:55:23,dv3,off,950,"Золота, 25"
2025-11-23 06:58:05,dv3,on,60,"Золота, 25"
2025-11-23 07:16:19,dv3,off,950,"Золота, 25"
2025-11-23 07:19:02,dv3,on,60,"Золота, 25"
2025-11-23 07:38:02,dv3,off,950,"Золота, 25"
2025-11-23 07:40:32,dv3,on,60,"Золота, 25"
2025-11-23 07:57:43,dv3,off,950,"Золота, 25"
2025-11-23 08:00:22,dv3,on,60,"Золота, 25"
2025-11-23 08:19:59,dv3,off,950,"Золота, 25"
2025-11-23 08:22:41,dv3,on,60,"Золота, 25"
2025-11-23 08:42:08,dv3,off,950,"Золота, 25"
2025-11-23 08:44:51,dv3,on,60,"Золота, 25"
2025-11-23 09:04:23,dv3,off,950,"Золота, 25"
2025-11-23 09:07:08,dv3,on,60,"Золота, 25"
2025-11-23 09:16:31,dv3,off,950,"Золота, 25"
2025-11-23 01:34:45,dv3,on,60,"Йосифа Сліпого, 22"
2025-11-23 08:42:36,dv3,off,950,"Йосифа Сліпого, 22"
2025-11-23 09:05:25,dv3,on,60,"Йосифа Сліпого, 22"
2025-11-23 01:44:49,dv3,on,60,"Кн.Ольги, 100к"
2025-11-23 08:26:59,dv3,off,950,"Кн.Ольги, 100к"
2025-11-23 08:34:45,dv3,on,60,"Кн.Ольги, 100к"
2025-11-23 08:47:02,dv3,off,950,"Кн.Ольги, 100к"
2025-11-23 09:01:06,dv3,on,60,"Кн.Ольги, 100к"
2025-11-23 09:06:46,dv3,off,950,"Кн.Ольги, 100к"
2025-11-23 09:27:24,dv3,on,60,"Кн.Ольги, 100к"
2025-11-23 08:33:58,dv3,off,950,"Князя Романа, 9"
2025-11-23 08:44:15,dv3,on,60,"Князя Романа, 9"
2025-11-23 09:05:27,dv3,off,950,"Князя Романа, 9"
2025-11-23 09:14:07,dv3,on,60,"Князя Романа, 9"
2025-11-23 09:19:35,dv3,off,950,"Князя Романа, 9"
2025-11-23 00:11:23,dv3,off,950,"Коперніка, 56"
2025-11-23 00:35:56,dv3,on,60,"Коперніка, 56"
2025-11-23 08:43:12,dv3,off,950,"Котика, 9"
2025-11-23 09:00:50,dv3,on,60,"Котика, 9"
2025-11-23 09:16:37,dv3,off,950,"Котика, 9"
2025-11-23 08:52:49,dv3,off,950,"Кропивницького, 7"
2025-11-23 09:02:11,dv3,on,60,"Кропивницького, 7"
2025-11-23 08:18:07,dv3,off,950,"Кубійовича, 31"
2025-11-23 08:23:11,dv3,on,60,"Кубійовича, 31"
2025-11-23 09:25:42,dv3,off,950,"Кубійовича, 31"
2025-11-23 09:31:41,dv3,on,60,"Кубійовича, 31"
2025-11-23 09:35:53,dv3,off,950,"Кубійовича, 31"
2025-11-23 08:25:32,dv3,off,950,"Кульпарківська, 135"
2025-11-23 08:46:56,dv3,on,60,"Кульпарківська, 135"
2025-11-23 08:13:58,dv3,off,909,"Кульпарківська, 230"
2025-11-23 08:36:11,dv3,on,730,"Кульпарківська, 230"
2025-11-23 09:00:43,dv3,off,916,"Кульпарківська, 230"
2025-11-23 09:09:27,dv3,on,759,"Кульпарківська, 230"
2025-11-23 09:12:56,dv3,off,917,"Кульпарківська, 230"
2025-11-23 09:19:36,dv3,on,755,"Кульпарківська, 230"
2025-11-23 08:18:12,dv3,off,950,"Кульпарківська, 93"
2025-11-23 08:44:07,dv3,on,60,"Кульпарківська, 93"
2025-11-23 01:15:01,dv3,on,60,"Лазаренка, 1"
2025-11-23 00:02:10,dv3,on,60,"Левицького, 106"
2025-11-23 09:28:03,dv3,off,950,"Левицького, 106"
2025-11-23 08:36:00,dv3,off,950,"Лисеницька, 9"
2025-11-23 08:52:56,dv3,on,60,"Лисеницька, 9"
2025-11-23 08:06:16,dv3,off,950,"Лисиничі, 5"
2025-11-23 08:33:19,dv3,on,60,"Лисиничі, 5"
2025-11-23 08:51:34,dv3,off,950,"Личаківська, 4"
2025-11-23 09:03:45,dv3,on,60,"Личаківська, 4"
2025-11-23 09:00:32,dv3,off,950,"Личаківська, 70а"
2025-11-23 09:28:30,dv3,on,60,"Личаківська, 70а"
2025-11-23 09:33:25,dv3,off,950,"Личаківська, 70а"
2025-11-23 07:53:05,dv3,off,950,"Любінська, 4"
2025-11-23 08:47:30,dv3,on,60,"Любінська, 4"
2025-11-23 09:04:02,dv3,off,950,"Любінська, 4"
2025-11-23 09:10:53,dv3,off,950,"Мазепи, 26"
2025-11-23 09:16:09,dv3,on,60,"Мазепи, 26"
2025-11-23 09:27:54,dv3,off,950,"Малоголосківська, 16"
2025-11-23 08:07:26,dv3,off,950,"Медової печери, 65"
2025-11-23 08:26:13,dv3,on,60,"Медової печери, 65"
2025-11-23 09:08:28,dv3,on,60,"Мечнікова, 16е"
2025-11-23 09:11:46,dv3,off,950,"Мечнікова, 16е"
2025-11-23 08:42:34,dv3,off,950,"Миколайчука, 4а"
2025-11-23 09:05:07,dv3,on,60,"Миколайчука, 4а"
2025-11-23 09:29:14,dv3,off,950,"Миколайчука, 4а"
2025-11-23 01:10:24,dv3,on,60,"Мікльоша, 17"
2025-11-23 09:28:06,dv3,off,950,"Мікльоша, 17"
2025-11-23 08:56:21,dv3,off,950,"Наливайка, 20"
2025-11-23 09:09:10,dv3,on,60,"Наливайка, 20"
2025-11-23 09:29:37,dv3,off,950,"Наливайка, 20"
2025-11-23 08:46:07,dv3,off,950,"Наукова, 10а"
2025-11-23 09:34:59,dv3,off,950,"Наукова, 96"
2025-11-23 00:02:55,dv3,on,568,"Освицька, 1"
2025-11-23 08:34:36,dv3,off,705,"Освицька, 1"
2025-11-23 00:48:46,dv3,off,950,"Пасічна, 171"
2025-11-23 01:03:57,dv3,on,60,"Пасічна, 171"
2025-11-23 07:40:49,dv3,off,950,"Пасічна, 171"
2025-11-23 07:57:30,dv3,on,60,"Пасічна, 171"
2025-11-23 08:36:47,dv3,off,950,"Пасічна, 171"
2025-11-23 08:51:19,dv3,on,60,"Пасічна, 171"
2025-11-23 08:32:52,dv3,off,950,"Пасічна, 84а"
2025-11-23 09:09:05,dv3,on,60,"Пасічна, 84а"
2025-11-23 09:11:03,dv3,off,950,"Пекарська, 14"
2025-11-23 09:30:09,dv3,on,60,"Пекарська, 14"
2025-11-23 01:02:16,dv3,off,950,"Петлюри, 2а"
2025-11-23 01:11:26,dv3,on,60,"Петлюри, 2а"
2025-11-23 07:59:33,dv3,off,950,"Петлюри, 2а"
2025-11-23 08:06:26,dv3,on,60,"Петлюри, 2а"
2025-11-23 04:09:25,dv3,on,60,"Пулюя, 29"
2025-11-23 04:40:12,dv3,on,60,"Пулюя, 29"
2025-11-23 04:52:56,dv3,on,60,"Пулюя, 29"
2025-11-23 05:00:48,dv3,on,60,"Пулюя, 29"
2025-11-23 05:10:47,dv3,on,60,"Пулюя, 29"
2025-11-23 05:16:33,dv3,on,60,"Пулюя, 29"
2025-11-23 09:07:57,dv3,off,950,"Пулюя, 29"
2025-11-23 08:54:10,dv3,off,950,"Пулюя, 40"
2025-11-23 09:11:26,dv3,on,518,"Пулюя, 40"
2025-11-23 01:05:36,dv3,off,950,"Під Голоском, 24б"
2025-11-23 01:08:19,dv3,on,60,"Під Голоском, 24б"
2025-11-23 03:12:40,dv3,off,950,"Під Голоском, 24б"
2025-11-23 03:15:20,dv3,on,60,"Під Голоском, 24б"
2025-11-23 05:20:03,dv3,off,950,"Під Голоском, 24б"
2025-11-23 05:22:48,dv3,on,60,"Під Голоском, 24б"
2025-11-23 07:29:03,dv3,off,950,"Під Голоском, 24б"
2025-11-23 07:31:49,dv3,on,60,"Під Голоском, 24б"
2025-11-23 07:15:01,dv3,off,950,"Родини Крушельницьких, 1а"
2025-11-23 07:28:26,dv3,on,60,"Родини Крушельницьких, 1а"
2025-11-23 09:04:17,dv3,off,950,"Родини Крушельницьких, 1а"
2025-11-23 05:19:07,dv3,on,60,"Рудненська, 8ж"
2025-11-23 09:19:25,dv3,off,950,"Садівнича, 27"
2025-11-23 07:27:37,dv3,off,950,"Сахарова, 60"
2025-11-23 07:35:09,dv3,on,60,"Сахарова, 60"
2025-11-23 09:12:46,dv3,off,950,"Сахарова, 60"
2025-11-23 09:31:27,dv3,on,60,"Сахарова, 60"
2025-11-23 00:04:21,dv3,on,60,"Сокільники, 17в"
2025-11-23 08:18:48,dv3,off,950,"Сокільники, 17в"
2025-11-23 08:48:54,dv3,on,60,"Сокільники, 17в"
2025-11-23 06:10:35,dv3,on,60,"Сокільники, 18"
2025-11-23 08:26:07,dv3,off,950,"Сокільники, 18"
2025-11-23 00:04:19,dv3,off,950,"Сокільники, 2"
2025-11-23 00:07:34,dv3,on,60,"Сокільники, 2"
2025-11-23 00:15:14,dv3,off,950,"Сокільники, 2"
2025-11-23 00:18:42,dv3,on,60,"Сокільники, 2"
2025-11-23 00:23:54,dv3,off,950,"Сокільники, 2"
2025-11-23 00:26:43,dv3,on,60,"Сокільники, 2"
2025-11-23 00:33:20,dv3,off,950,"Сокільники, 2"
2025-11-23 00:36:26,dv3,on,60,"Сокільники, 2"
2025-11-23 00:44:53,dv3,off,950,"Сокільники, 2"
2025-11-23 00:48:18,dv3,on,60,"Сокільники, 2"
2025-11-23 00:56:16,dv3,off,950,"Сокільники, 2"
2025-11-23 00:59:44,dv3,on,60,"Сокільники, 2"
2025-11-23 01:07:40,dv3,off,950,"Сокільники, 2"
2025-11-23 01:11:05,dv3,on,60,"Сокільники, 2"
2025-11-23 01:18:05,dv3,off,950,"Сокільники, 2"
2025-11-23 01:21:24,dv3,on,60,"Сокільники, 2"
2025-11-23 01:26:34,dv3,off,950,"Сокільники, 2"
2025-11-23 01:29:16,dv3,on,60,"Сокільники, 2"
2025-11-23 01:34:33,dv3,off,950,"Сокільники, 2"
2025-11-23 01:37:18,dv3,on,60,"Сокільники, 2"
2025-11-23 01:44:31,dv3,off,950,"Сокільники, 2"
2025-11-23 01:47:43,dv3,on,60,"Сокільники, 2"
2025-11-23 01:54:22,dv3,off,950,"Сокільники, 2"
2025-11-23 01:57:20,dv3,on,60,"Сокільники, 2"
2025-11-23 02:04:47,dv3,off,950,"Сокільники, 2"
2025-11-23 02:07:51,dv3,on,60,"Сокільники, 2"
2025-11-23 02:16:22,dv3,off,950,"Сокільники, 2"
2025-11-23 02:19:44,dv3,on,60,"Сокільники, 2"
2025-11-23 02:27:24,dv3,off,950,"Сокільники, 2"
2025-11-23 02:30:33,dv3,on,60,"Сокільники, 2"
2025-11-23 02:38:29,dv3,off,950,"Сокільники, 2"
2025-11-23 02:41:49,dv3,on,60,"Сокільники, 2"
2025-11-23 02:49:20,dv3,off,950,"Сокільники, 2"
2025-11-23 02:52:27,dv3,on,60,"Сокільники, 2"
2025-11-23 02:59:25,dv3,off,950,"Сокільники, 2"
2025-11-23 03:02:50,dv3,on,60,"Сокільники, 2"
2025-11-23 03:09:25,dv3,off,950,"Сокільники, 2"
2025-11-23 03:12:28,dv3,on,60,"Сокільники, 2"
2025-11-23 03:17:46,dv3,off,950,"Сокільники, 2"
2025-11-23 03:20:29,dv3,on,60,"Сокільники, 2"
2025-11-23 03:25:23,dv3,off,950,"Сокільники, 2"
2025-11-23 03:27:59,dv3,on,60,"Сокільники, 2"
2025-11-23 03:34:48,dv3,off,950,"Сокільники, 2"
2025-11-23 03:37:43,dv3,on,60,"Сокільники, 2"
2025-11-23 03:46:26,dv3,off,950,"Сокільники, 2"
2025-11-23 03:49:41,dv3,on,60,"Сокільники, 2"
2025-11-23 03:58:15,dv3,off,950,"Сокільники, 2"
2025-11-23 04:01:30,dv3,on,60,"Сокільники, 2"
2025-11-23 04:07:40,dv3,off,950,"Сокільники, 2"
